"","YearRemodAdd","X2ndFlrSF","X1stFlrSF","GrLivArea","TotalBsmtSF","TotRmsAbvGrd","SalePrice","GarageArea","YrSold","MoSold","DateSold","TotalSF","index_TotalSF","index_GarageArea","index_GrLivArea","index_YearRemodAdd","index_Room"
"1",2003,854,856,1710,856,8,208500,548,2008,2,"02//2008",2566,2,4,3,8,4
"2",1976,0,1262,1262,1262,6,181500,460,2007,5,"05//2007",2524,2,3,2,4,3
"3",2002,866,920,1786,920,6,223500,608,2008,9,"09//2008",2706,2,4,3,7,3
"4",1970,756,961,1717,756,7,140000,642,2006,2,"02//2006",2473,2,4,3,3,4
"5",2000,1053,1145,2198,1145,9,250000,836,2008,12,"12//2008",3343,3,5,3,7,5
"6",1995,566,796,1362,796,5,143000,480,2009,10,"10//2009",2158,2,3,2,6,2
"7",2005,0,1694,1694,1686,7,307000,636,2007,8,"08//2007",3380,3,4,3,8,4
"8",1973,983,1107,2090,1107,7,200000,484,2009,11,"11//2009",3197,3,3,3,4,4
"9",1950,752,1022,1774,952,8,129900,468,2008,4,"04//2008",2726,2,3,3,1,4
"10",1950,0,1077,1077,991,5,118000,205,2008,1,"01//2008",2068,2,2,2,1,2
"11",1965,0,1040,1040,1040,5,129500,384,2008,2,"02//2008",2080,2,3,2,2,2
"12",2006,1142,1182,2324,1175,11,345000,736,2006,7,"07//2006",3499,3,5,3,8,6
"13",1962,0,912,912,912,4,144000,352,2008,9,"09//2008",1824,2,2,1,2,2
"14",2007,0,1494,1494,1494,7,279500,840,2007,8,"08//2007",2988,2,5,2,8,4
"15",1960,0,1253,1253,1253,5,157000,352,2008,5,"05//2008",2506,2,2,2,2,2
"16",2001,0,854,854,832,5,132000,576,2007,7,"07//2007",1686,1,4,1,7,2
"17",1970,0,1004,1004,1004,5,149000,480,2010,3,"03//2010",2008,2,3,2,3,2
"18",1967,0,1296,1296,0,6,90000,516,2006,10,"10//2006",1296,1,3,2,3,3
"19",2004,0,1114,1114,1114,6,159000,576,2008,6,"06//2008",2228,2,4,2,8,3
"20",1965,0,1339,1339,1029,6,139000,294,2009,5,"05//2009",2368,2,2,2,2,3
"21",2006,1218,1158,2376,1158,9,325300,853,2006,11,"11//2006",3534,3,5,4,8,5
"22",1950,0,1108,1108,637,6,139400,280,2007,6,"06//2007",1745,1,2,2,1,3
"23",2002,0,1795,1795,1777,7,230000,534,2008,9,"09//2008",3572,3,4,3,7,4
"24",1976,0,1060,1060,1040,6,129900,572,2007,6,"06//2007",2100,2,4,2,4,3
"25",2001,0,1060,1060,1060,6,154000,270,2010,5,"05//2010",2120,2,2,2,7,3
"26",2007,0,1600,1600,1566,7,256300,890,2009,7,"07//2009",3166,2,6,2,8,4
"27",2000,0,900,900,900,5,134800,576,2010,5,"05//2010",1800,2,4,1,7,2
"28",2008,0,1704,1704,1704,7,306000,772,2010,5,"05//2010",3408,3,5,3,8,4
"29",1997,0,1600,1600,1484,6,207500,319,2006,12,"12//2006",3084,2,2,2,7,3
"30",1950,0,520,520,520,4,68500,240,2008,5,"05//2008",1040,1,2,1,1,2
"31",1950,668,649,1317,649,6,40000,250,2008,7,"07//2008",1966,2,2,2,1,3
"32",2006,0,1228,1228,1228,6,149350,271,2008,6,"06//2008",2456,2,2,2,8,3
"33",2007,0,1234,1234,1234,7,179900,484,2008,1,"01//2008",2468,2,3,2,8,4
"34",1959,0,1700,1700,1398,6,165500,447,2010,4,"04//2010",3098,2,3,3,2,3
"35",2005,0,1561,1561,1561,6,277500,556,2007,8,"08//2007",3122,2,4,2,8,3
"36",2005,1320,1132,2452,1117,9,309000,691,2006,9,"09//2006",3569,3,4,4,8,5
"37",1995,0,1097,1097,1097,6,145000,672,2009,6,"06//2009",2194,2,4,2,6,3
"38",1990,0,1297,1297,1297,5,153000,498,2009,10,"10//2009",2594,2,3,2,6,2
"39",2007,0,1057,1057,1057,5,109000,246,2010,1,"01//2010",2114,2,2,2,8,2
"40",1955,0,1152,1152,0,6,82000,0,2008,6,"06//2008",1152,1,1,2,1,3
"41",1965,0,1324,1324,1088,6,160000,440,2006,12,"12//2006",2412,2,3,2,2,3
"42",1959,0,1328,1328,1350,5,170000,308,2007,7,"07//2007",2678,2,2,2,2,2
"43",1983,0,884,884,840,5,144000,504,2007,12,"12//2007",1724,1,3,1,5,2
"44",1980,0,938,938,938,5,130250,308,2008,7,"07//2008",1876,2,2,1,4,2
"45",1959,0,1150,1150,1150,6,141000,300,2006,5,"05//2006",2300,2,2,2,2,3
"46",2005,0,1752,1752,1752,6,319900,576,2010,2,"02//2010",3504,3,4,3,8,3
"47",2003,631,1518,2149,1434,6,239686,670,2009,8,"08//2009",3583,3,4,3,8,3
"48",2006,0,1656,1656,1656,7,249700,826,2007,7,"07//2007",3312,3,5,2,8,4
"49",2008,716,736,1452,736,8,113000,0,2009,6,"06//2009",2188,2,1,2,8,4
