"","YearRemodAdd","GrLivArea","TotRmsAbvGrd","SalePrice","GarageArea","YrSold","MoSold","TotalSF"
"496",0,0.073,0.167,0,0,2009,0.909,0.097
"917",0,0.028,0.167,0.001,0.217,2006,0.818,0.055
"969",0,0.119,0.333,0.004,0,2009,0.364,0.108
"534",0,0,0,0.006,0,2007,0,0
"31",0,0.185,0.333,0.007,0.176,2008,0.545,0.143
"711",0.883,0.074,0.25,0.024,0,2008,0.545,0.058
"1338",0,0.068,0.167,0.024,0,2006,0.182,0.092
"706",0,0.143,0.417,0.028,0,2010,0.545,0.066
"1326",0,0.087,0.25,0.028,0,2008,0,0.11
"813",0.033,0.134,0.167,0.029,0.355,2010,0.455,0.109
"1381",0,0.1,0.25,0.033,0.141,2010,0.455,0.122
"411",0.133,0.177,0.25,0.035,0.247,2009,0.455,0.194
"637",0,0.088,0.167,0.035,0,2009,0,0.064
"1101",0,0.02,0.083,0.035,0.173,2009,0,0.035
"376",0,0.107,0.167,0.036,0,2009,0.182,0.11
"463",0.25,0.1,0.25,0.038,0.254,2009,1,0.122
"1433",0.95,0.119,0.25,0.041,0.152,2007,0.636,0.113
"875",0,0.15,0.25,0.044,0.141,2009,0.636,0.129
"399",0,0.14,0.333,0.045,0.238,2007,0.909,0.149
"621",0,0.1,0.25,0.045,0,2008,0.727,0.122
"30",0,0.035,0.167,0.047,0.169,2008,0.364,0.062
"1280",0,0.15,0.333,0.047,0.372,2010,0.273,0.131
"1322",0,0.073,0.167,0.052,0.202,2008,0.545,0.034
"265",0.9,0.081,0.167,0.053,0.355,2008,0.455,0.097
"615",0.367,0.056,0.083,0.056,0,2010,0.364,0.081
"916",0.333,0.143,0.333,0.056,0.202,2007,0,0.114
"384",0,0.085,0.25,0.057,0.254,2009,0.818,0.108
"251",0.267,0.183,0.333,0.058,0,2010,0.364,0.149
"330",0,0.162,0.333,0.06,0.133,2009,0.545,0.127
"156",0,0.144,0.25,0.061,0,2008,0.273,0.117
"243",0,0.208,0.333,0.061,0.248,2006,0.273,0.144
"1327",0.933,0.083,0.333,0.061,0,2007,0.364,0.086
"432",0.8,0.163,0.417,0.062,0,2008,0.727,0.155
"590",0.167,0.113,0.167,0.062,0.217,2008,0.636,0.104
"936",0.05,0.078,0.25,0.062,0.372,2006,0.455,0.089
"69",0,0.078,0.167,0.063,0.155,2010,0.455,0.102
"1040",0.333,0.056,0.083,0.063,0.202,2009,0.273,0.081
"1144",0.15,0.127,0.25,0.063,0,2008,0.545,0.147
"1145",0,0.111,0.25,0.063,0.197,2010,0.545,0.111
"1219",0,0.109,0.083,0.063,0,2006,0.545,0.051
"387",0.767,0.16,0.5,0.064,0,2006,0.364,0.132
"435",0.367,0.056,0.083,0.064,0,2008,0.455,0.081
"1062",0,0.106,0.333,0.064,0.88,2008,0.636,0.127
"40",0.083,0.154,0.333,0.065,0,2008,0.455,0.072
"342",0,0.096,0.167,0.065,0.207,2009,0.727,0.108
"1001",0.033,0.115,0.167,0.065,0.372,2009,0.545,0.053
"309",0,0.099,0.167,0.066,0.38,2009,0.182,0.122
"633",0.45,0.203,0.333,0.066,0.384,2009,0.273,0.216
"1324",0,0.07,0.25,0.066,0,2009,1,0.07
"99",0,0.094,0.25,0.067,0.258,2010,0.364,0.084
"1087",0.383,0.143,0.333,0.067,0.202,2010,0.364,0.114
"1379",0.383,0.123,0.25,0.067,0.186,2006,0.455,0.099
"1036",0.117,0.096,0.25,0.068,0.205,2009,0,0.045
"126",0.533,0.079,0.25,0.069,0,2006,0.455,0.062
"650",0.333,0.056,0.083,0.069,0,2007,1,0.081
"1050",0.933,0.112,0.333,0.069,0.217,2010,0.273,0.052
"1454",0.933,0.152,0.333,0.069,0,2006,0.545,0.17
"89",0.533,0.225,0.333,0.07,0,2009,0.818,0.148
"345",0.433,0.147,0.167,0.07,0.237,2010,0.273,0.115
"431",0.35,0.123,0.167,0.07,0.186,2008,0.545,0.099
"639",0,0.087,0.167,0.07,0,2008,0.364,0.11
"977",0.133,0.101,0.167,0.07,0,2006,0.636,0.085
"1014",0.933,0.13,0.167,0.07,0.197,2009,0.455,0.15
"490",0.867,0.056,0.083,0.071,0.202,2009,0.364,0.081
"529",0.867,0.051,0.25,0.071,0,2007,0.545,0.07
"1002",0,0.067,0.167,0.071,0.152,2007,0,0.092
"128",0,0.095,0.25,0.072,0,2007,0.455,0.103
"326",0,0.088,0.25,0.072,0.254,2007,1,0.104
"677",0,0.271,0.5,0.072,0.549,2006,0.364,0.222
"1023",0,0.172,0.333,0.072,0.113,2007,0.182,0.16
"343",0,0.133,0.333,0.073,0.282,2006,0.364,0.062
"288",0.35,0.099,0.25,0.074,0,2006,0.455,0.121
"656",0.35,0.143,0.333,0.074,0.186,2010,0.182,0.112
"913",0,0.128,0.333,0.074,0.317,2006,0.545,0.127
"1008",0.333,0.143,0.333,0.074,0.202,2009,0.636,0.114
"697",0,0.053,0.167,0.075,0.145,2006,0.455,0.079
"236",0.35,0.123,0.25,0.076,0.186,2008,0.636,0.099
"308",0,0.202,0.333,0.076,0,2008,0.182,0.122
"480",0.833,0.15,0.417,0.076,0.474,2007,0.182,0.149
"18",0.283,0.181,0.333,0.077,0.364,2006,0.818,0.084
"439",0.867,0.068,0.167,0.077,0.248,2007,0.182,0.07
"1063",0,0.377,0.667,0.077,0.395,2007,0.727,0.233
"1413",0,0.133,0.333,0.077,0.296,2009,0.455,0.062
"76",0.383,0.123,0.25,0.078,0.209,2009,0.909,0.098
"495",0.767,0.104,0.167,0.078,0.193,2009,1,0.065
"999",0,0.14,0.333,0.078,0.148,2006,0.364,0.153
"1377",0,0.086,0.167,0.078,0.113,2008,0.273,0.107
"1073",0,0.211,0.417,0.079,0.197,2006,0.636,0.169
"1220",0.35,0.167,0.417,0.079,0,2006,0.273,0.136
"1450",0.333,0.056,0.083,0.079,0,2006,0.636,0.081
"638",0.067,0.198,0.417,0.081,0.181,2009,0.909,0.163
"737",0,0.133,0.333,0.081,0.282,2006,0.545,0.062
"822",0.05,0.113,0.167,0.081,0.406,2009,0.091,0.135
"1091",0,0.133,0.333,0.081,0.282,2009,0.455,0.062
"1132",0.7,0.121,0.25,0.081,0,2007,0.727,0.141
"1180",0.067,0.149,0.25,0.081,0,2006,0.273,0.069
"1138",0.767,0.129,0.333,0.082,0,2010,0.364,0.128
"98",0.25,0.118,0.333,0.083,0.305,2007,0.364,0.139
"233",0.367,0.123,0.25,0.083,0.203,2006,0.455,0.099
"353",0,0.146,0.25,0.083,0.141,2008,0.182,0.122
"1187",0.333,0.257,0.417,0.083,0.296,2009,0.636,0.205
"224",0.35,0.1,0.167,0.086,0.406,2009,0.182,0.122
"260",0.1,0.103,0.167,0.086,0.217,2008,1,0.048
"515",0,0.086,0.25,0.086,0.141,2007,0.455,0.107
"751",0.9,0.152,0.417,0.086,0,2010,0.455,0.121
"1039",0.967,0.19,0.333,0.086,0,2009,0.364,0.136
"659",0,0.212,0.333,0.087,0.233,2010,0,0.178
"92",0.183,0.17,0.333,0.088,0.339,2006,1,0.187
"211",0,0.1,0.25,0.088,0,2008,0.273,0.122
"457",0,0.19,0.417,0.088,0.362,2008,0.364,0.143
"647",0,0.135,0.417,0.088,0.296,2008,0.545,0.063
"750",0,0.225,0.583,0.088,0.169,2009,0.273,0.105
"107",0.75,0.134,0.333,0.09,0.193,2007,0.636,0.119
"122",0,0.149,0.167,0.09,0.186,2007,0.455,0.133
"180",0.933,0.119,0.25,0.09,0.339,2007,0.545,0.14
"394",0,0.086,0.167,0.09,0,2006,0.273,0.109
"762",0,0.182,0.25,0.09,0.31,2009,0.818,0.185
